gate,contrast,difference,ci_lo,ci_hi,invalid_draws
completion80,e_norm_minus_J_eq16,-0.03974387071788554,-0.06397279302335403,-0.020789387224374564,0
completion80,e_norm_minus_J_full,-0.042234803922461706,-0.06925378957084664,-0.018547571305005554,0
tracking,e_norm_minus_J_eq16,0.02079161967179144,0.01267836489527589,0.03039754988263226,0
tracking,e_norm_minus_J_full,0.022197327515913634,0.012047582337097037,0.03460638978863016,0
stall,e_norm_minus_J_eq16,0.022416816157023733,0.010169219986789366,0.03733881226047422,0
stall,e_norm_minus_J_full,0.009410108758190816,0.0002941396920355111,0.019753600213616582,0
