metric,criterion,n,auroc,auroc_lo,auroc_hi,brier,brier_lo,brier_hi,transfer_mae_50,transfer_mae_80,transfer_mae_90
e_axis,firm,74752,0.8522092007364372,0.8109527970767864,0.8902977378807858,0.15277910137575684,0.1315121208394659,0.1749567547789508,0.16535198377791996,0.13267543859649122,nan
e_pivot,firm,74752,0.9600864923312393,0.9458019675007184,0.9728189750562698,0.07826639424121867,0.06308910744503947,0.09415570972867769,0.31343103610980444,0.10899940706766331,0.06845245248371135
e_geo,firm,74752,0.9755699619828201,0.9660688524720498,0.9838699938207579,0.06597503910149492,0.05164021319509617,0.08030150042978279,0.33973241408462024,0.1255990130395284,0.09883407241776902
e_norm,firm,74752,0.9976307019395461,0.9957637771876134,0.998956798279741,0.017745407942901244,0.01211333364157534,0.024446914984987526,0.46290385327632383,0.18073538208214027,0.08852535040082052
J_full,firm,74752,0.9754623026090354,0.9631998905994329,0.9854559268332959,0.06017622274505975,0.04507254303329534,0.0766613184661737,0.35503388163023597,0.1106744641057343,0.06383561579258498
J_eq16,firm,74752,0.9768585072784308,0.9665929978989477,0.9851953324901649,0.06327587632572446,0.049024303051141305,0.07895225709533697,0.34395419331475646,0.13360090217970055,0.08842721534298385
