metric,criterion,n,auroc,auroc_lo,auroc_hi,brier,brier_lo,brier_hi,transfer_mae_50,transfer_mae_80,transfer_mae_90
e_axis,rpmart85,74752,0.9049669048076383,0.8528219641104513,0.9441528598733421,0.0827977237900556,0.05483863818111773,0.11237859129080392,0.40039512069410355,0.14264678135291542,0.06066826119314097
e_pivot,rpmart85,74752,0.937295399221521,0.8986818995762007,0.9658041152503032,0.07027668644318762,0.046090740954247325,0.09700975146856385,0.4198804741704533,0.16111703354556817,0.08072562194988105
e_geo,rpmart85,74752,0.9540868628528222,0.91484447119517,0.9802297857685816,0.05186256823766342,0.03242726225771753,0.0722036791307702,0.4421691582479411,0.17525704814156684,0.08604197304004861
e_norm,rpmart85,74752,0.9335010433347855,0.8946182280604003,0.9649906294024431,0.07382598729526588,0.04633603524622758,0.10141886039856957,0.41683249940928757,0.1529053041164508,0.08195119908899735
J_full,rpmart85,74752,0.9759264317597058,0.9371020444298492,0.998120013386368,0.018139798379420376,0.008366543776297737,0.030090605547786524,0.48056738157948387,0.18686263056158292,0.0891454659487559
J_eq16,rpmart85,74752,0.9736308109776145,0.9386235316624217,0.994582921745258,0.037268395956963955,0.02026805377276704,0.056890231615032115,0.4568151139855442,0.17323811607029302,0.08888818754207943
