domain,object_id,endpoint,n,n_pos,n_neg,pos_rate
source_flow_gaussian,46033,completion85,1024,1024,0,1.0
source_flow_gaussian,46037,firm,1024,512,512,0.5
source_flow_gaussian,46037,completion85,1024,512,512,0.5
source_flow_gaussian,46084,firm,1024,287,737,0.2802734375
source_flow_gaussian,46084,completion85,1024,512,512,0.5
source_flow_gaussian,46108,firm,1024,0,1024,0.0
source_flow_gaussian,46108,completion85,1024,496,528,0.484375
source_flow_gaussian,46120,firm,1024,140,884,0.13671875
source_flow_gaussian,46120,completion85,1024,512,512,0.5
source_flow_gaussian,46145,firm,1024,0,1024,0.0
source_flow_gaussian,46145,completion85,1024,0,1024,0.0
source_flow_gaussian,46856,firm,1024,74,950,0.072265625
source_flow_gaussian,46856,completion85,1024,496,528,0.484375
source_flow_gaussian,46859,firm,1024,561,463,0.5478515625
source_flow_gaussian,46859,completion85,1024,1024,0,1.0
source_flow_gaussian,47529,firm,1024,438,586,0.427734375
source_flow_gaussian,47529,completion85,1024,1024,0,1.0
source_flow_gaussian,47570,firm,1024,430,594,0.419921875
source_flow_gaussian,47570,completion85,1024,1024,0,1.0
source_flow_gaussian,47944,firm,1024,512,512,0.5
source_flow_gaussian,47944,completion85,1024,512,512,0.5
source_flow_gaussian,48063,firm,1024,0,1024,0.0
source_flow_gaussian,48063,completion85,1024,1024,0,1.0
source_flow_gaussian,48271,firm,1024,254,770,0.248046875
source_flow_gaussian,48271,completion85,1024,1024,0,1.0
source_flow_gaussian,48379,firm,1024,468,556,0.45703125
source_flow_gaussian,48379,completion85,1024,512,512,0.5
source_flow_gaussian,48452,firm,1024,256,768,0.25
source_flow_gaussian,48452,completion85,1024,1024,0,1.0
source_flow_gaussian,49042,firm,1024,553,471,0.5400390625
source_flow_gaussian,49042,completion85,1024,636,388,0.62109375
source_flow_gaussian,49133,firm,1024,511,513,0.4990234375
source_flow_gaussian,49133,completion85,1024,768,256,0.75
source_flow_gaussian,7119,firm,1024,319,705,0.3115234375
source_flow_gaussian,7119,completion85,1024,1024,0,1.0
source_flow_gaussian,7128,firm,1024,728,296,0.7109375
source_flow_gaussian,7128,completion85,1024,1024,0,1.0
source_flow_gaussian,7167,firm,1024,457,567,0.4462890625
source_flow_gaussian,7167,completion85,1024,1024,0,1.0
source_flow_gaussian,7263,firm,1024,601,423,0.5869140625
source_flow_gaussian,7263,completion85,1024,1024,0,1.0
source_flow_gaussian,7265,firm,1024,581,443,0.5673828125
source_flow_gaussian,7265,completion85,1024,1024,0,1.0
source_flow_gaussian,7304,firm,1024,356,668,0.34765625
source_flow_gaussian,7304,completion85,1024,1024,0,1.0
source_flow_gaussian,7310,firm,1024,656,368,0.640625
source_flow_gaussian,7310,completion85,1024,1024,0,1.0
