obj,delta_deg,seed,condition,progress,max_track_err,quality_frac,peak_force,f_max_used
10685,0.0,650117,gripper_matched_fmax,0.0,0.03056472963688743,0.8717948717948718,100.63332484462369,58.10067718849054
10685,0.0,729535,gripper_matched_fmax,0.0,0.035947569595779945,0.8220338983050848,100.63332484462369,58.10067718849054
10685,0.0,644855,gripper_matched_fmax,1.052622498768347,0.029905961700798202,0.0,100.63332484462369,58.10067718849054
10685,0.0,353521,gripper_matched_fmax,1.028975964417914,0.009255175897522068,0.0,100.63332484462369,58.10067718849054
10685,0.0,645626,gripper_matched_fmax,1.0255358135005452,0.15146470126638253,0.0,100.63332484462369,58.10067718849054
10685,0.0,163414,gripper_matched_fmax,1.056106849348361,0.02957353064356725,0.0,100.63332484462369,58.10067718849054
10685,0.0,704451,gripper_matched_fmax,1.050235427268846,0.033457394070480304,0.0,100.63332484462369,58.10067718849054
10685,0.0,505005,gripper_matched_fmax,1.054989463481499,0.10635558724027859,0.0,100.63332484462369,58.10067718849054
10685,0.0,642709,gripper_matched_fmax,1.0291785256915948,0.051207752433571466,0.0,100.63332484462369,58.10067718849054
10685,0.0,841698,gripper_matched_fmax,1.0339663995655641,0.01773549972707407,0.0,100.63332484462369,58.10067718849054
10685,5.0,163809,gripper_matched_fmax,0.988281450831898,0.07122067982323936,0.0,100.63332484462369,58.10067718849054
10685,5.0,194525,gripper_matched_fmax,0.7502055618673013,0.1064434118937347,0.0,100.63332484462369,58.10067718849054
10685,5.0,399166,gripper_matched_fmax,1.113524328757914,0.03279204189289811,0.0,100.63332484462369,58.10067718849054
10685,5.0,271507,gripper_matched_fmax,1.045959000335986,0.07469137840741148,0.0,100.63332484462369,58.10067718849054
10685,5.0,610751,gripper_matched_fmax,1.0487401840764345,0.07302092255660526,0.0,100.63332484462369,58.10067718849054
10685,5.0,265929,gripper_matched_fmax,1.0355982960397547,0.06594518362843316,0.0,100.63332484462369,58.10067718849054
10685,5.0,113739,gripper_matched_fmax,0.7237158296031484,0.09387803813118376,0.0,100.63332484462369,58.10067718849054
10685,5.0,268052,gripper_matched_fmax,0.6758600408430876,0.04483282780303528,0.20175438596491227,100.63332484462369,58.10067718849054
10685,5.0,975722,gripper_matched_fmax,0.9827987112778246,0.05235179876035787,0.0,100.63332484462369,58.10067718849054
10685,5.0,1090089,gripper_matched_fmax,1.0310832107100831,0.12113253750562583,0.0,100.63332484462369,58.10067718849054
10685,10.0,777252,gripper_matched_fmax,1.013803156059581,0.08392238878761943,0.0,100.63332484462369,58.10067718849054
10685,10.0,302607,gripper_matched_fmax,0.9866078525694983,0.08351518546542937,0.0,100.63332484462369,58.10067718849054
10685,10.0,117796,gripper_matched_fmax,0.9240192911156977,0.036522649405854084,0.0,100.63332484462369,58.10067718849054
10685,10.0,489119,gripper_matched_fmax,0.0,0.06586158460558388,0.865546218487395,100.63332484462369,58.10067718849054
10685,10.0,699048,gripper_matched_fmax,1.2253650512263616,0.04704232299091367,0.0,100.63332484462369,58.10067718849054
10685,10.0,586675,gripper_matched_fmax,0.9348761039712872,0.05315275572751547,0.0,100.63332484462369,58.10067718849054
10685,10.0,118184,gripper_matched_fmax,0.18740184873958107,0.06081248149301608,0.6495726495726496,100.63332484462369,58.10067718849054
10685,10.0,368848,gripper_matched_fmax,1.051273838418605,0.13389824007440368,0.0,100.63332484462369,58.10067718849054
10685,10.0,871113,gripper_matched_fmax,0.14604049725862991,0.056418957934707116,0.6752136752136753,100.63332484462369,58.10067718849054
10685,10.0,766929,gripper_matched_fmax,0.9090068683530783,0.03545652611784902,0.0,100.63332484462369,58.10067718849054
10685,15.0,677456,gripper_matched_fmax,0.8283459686259959,0.02330125452378633,0.0,100.63332484462369,58.10067718849054
10685,15.0,942352,gripper_matched_fmax,0.07704703850577377,0.053152192994808715,0.7203389830508474,100.63332484462369,58.10067718849054
10685,15.0,826631,gripper_matched_fmax,0.9817207829992037,0.22023286321947758,0.0,100.63332484462369,58.10067718849054
10685,15.0,577622,gripper_matched_fmax,0.8377713416790127,0.04955709234764752,0.0,100.63332484462369,58.10067718849054
10685,15.0,355767,gripper_matched_fmax,1.0459470623649925,0.20924326858019407,0.0,100.63332484462369,58.10067718849054
10685,15.0,902586,gripper_matched_fmax,1.0451230949497836,0.20425560446411065,0.0,100.63332484462369,58.10067718849054
10685,15.0,508555,gripper_matched_fmax,1.2537623154862108,0.07450973753810884,0.0,100.63332484462369,58.10067718849054
10685,15.0,331442,gripper_matched_fmax,0.9831958802615833,0.2084458806258588,0.0,100.63332484462369,58.10067718849054
10685,15.0,459604,gripper_matched_fmax,0.0,0.06541221639457102,0.8220338983050848,100.63332484462369,58.10067718849054
10685,15.0,117192,gripper_matched_fmax,0.8774666535869539,0.11102152641628152,0.0,100.63332484462369,58.10067718849054
10685,20.0,1061430,gripper_matched_fmax,1.3934708357106105,0.11086847311575787,0.0,100.63332484462369,58.10067718849054
10685,20.0,223123,gripper_matched_fmax,0.47083034011210767,0.3849873172248572,0.0,100.63332484462369,58.10067718849054
10685,20.0,966451,gripper_matched_fmax,0.10588033737270568,0.0480551102997937,0.5309734513274337,100.63332484462369,58.10067718849054
10685,20.0,847550,gripper_matched_fmax,1.0563511702091612,0.2719159304845857,0.0,100.63332484462369,58.10067718849054
10685,20.0,610502,gripper_matched_fmax,0.0,0.0404308396572037,0.8632478632478633,100.63332484462369,58.10067718849054
10685,20.0,252738,gripper_matched_fmax,0.33131004336021386,0.04942329122862117,0.03508771929824561,100.63332484462369,58.10067718849054
